Player,2012/2013,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23
Lebron James,0.406,0.379,0.354,0.309,0.363,0.367,0.339,0.348,0.365,0.359,0.321
Steph Curry,0.453,0.424,0.443,0.454,0.411,0.423,0.437,0.245,0.421,0.38,0.427
KD,0.416,0.391,0.403,0.387,0.375,0.419,0.353,0.45,0.383,0.376,0.547
Kyrie Irving,0.391,0.358,0.415,0.321,0.401,0.408,0.401,0.394,0.402,0.418,0.392
Russell Westbrook,0.438,0.437,0.426,0.454,0.425,0.449,0.428,0.472,0.439,0.444,0.489
Klay Thompson,0.401,0.417,0.439,0.425,0.414,0.44,0.402,0.41,0.41,0.385,0.412
Bradley Beal,0.386,0.402,0.409,0.387,0.404,0.375,0.351,0.353,0.349,0.3,0.365
Damian Lillard,0.368,0.394,0.343,0.375,0.37,0.361,0.369,0.401,0.391,0.324,0.371
Anthony Davis,0,0.222,0.083,0.324,0.299,0.34,0.331,0.33,0.26,0.186,0.257
Jimmy Butler,0.381,0.283,0.378,0.312,0.367,0.35,0.378,0.244,0.245,0.233,0.35
